Code,Name,Longitude,Latitude,Logger,Date,CHL_QA_AVG,NTU_QA_AVG
WHI1,Double Cone Island,148.7217,-20.1049,843,24/03/2021,0.425,0.806
WHI1,Double Cone Island,148.7217,-20.1049,843,25/03/2021,0.405,0.887
WHI1,Double Cone Island,148.7217,-20.1049,843,26/03/2021,0.461,1.072
WHI1,Double Cone Island,148.7217,-20.1049,843,27/03/2021,0.483,1.32
WHI1,Double Cone Island,148.7217,-20.1049,843,28/03/2021,0.536,1.639
WHI1,Double Cone Island,148.7217,-20.1049,843,29/03/2021,0.573,2.145
WHI1,Double Cone Island,148.7217,-20.1049,843,30/03/2021,0.629,3.895
WHI1,Double Cone Island,148.7217,-20.1049,843,31/03/2021,0.644,4.464
WHI1,Double Cone Island,148.7217,-20.1049,843,1/04/2021,0.629,5.343
WHI1,Double Cone Island,148.7217,-20.1049,843,2/04/2021,0.595,5.088
WHI1,Double Cone Island,148.7217,-20.1049,843,3/04/2021,0.562,3.034
WHI1,Double Cone Island,148.7217,-20.1049,843,4/04/2021,0.571,2.012
WHI1,Double Cone Island,148.7217,-20.1049,843,5/04/2021,0.608,1.919
WHI1,Double Cone Island,148.7217,-20.1049,843,6/04/2021,0.697,1.906
WHI1,Double Cone Island,148.7217,-20.1049,843,7/04/2021,0.789,1.856
WHI1,Double Cone Island,148.7217,-20.1049,843,8/04/2021,0.668,2.005
WHI1,Double Cone Island,148.7217,-20.1049,843,9/04/2021,0.515,1.936
WHI1,Double Cone Island,148.7217,-20.1049,843,10/04/2021,0.479,2.157
WHI1,Double Cone Island,148.7217,-20.1049,843,11/04/2021,0.531,2.319
WHI1,Double Cone Island,148.7217,-20.1049,843,12/04/2021,0.56,3.393
WHI1,Double Cone Island,148.7217,-20.1049,843,13/04/2021,0.575,2.735
WHI1,Double Cone Island,148.7217,-20.1049,843,14/04/2021,0.634,2.583
WHI1,Double Cone Island,148.7217,-20.1049,843,15/04/2021,0.632,2.194
WHI1,Double Cone Island,148.7217,-20.1049,843,16/04/2021,0.613,1.768
WHI1,Double Cone Island,148.7217,-20.1049,843,17/04/2021,0.521,1.491
WHI1,Double Cone Island,148.7217,-20.1049,843,18/04/2021,0.454,1.791
